image_path,x,y,w,h,class_id,class_name,signal_state
raw_frames\5hXUlLcSwsM\frame_00000.jpg,760,659,292,197,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00001.jpg,1020,630,219,148,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00002.jpg,1186,603,174,135,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00003.jpg,1300,591,144,105,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00004.jpg,1394,563,122,102,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00005.jpg,1448,551,112,83,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00006.jpg,1490,533,100,80,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00012.jpg,1550,599,230,250,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00013.jpg,1598,594,216,207,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00014.jpg,1611,581,205,210,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00015.jpg,1622,584,193,201,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00016.jpg,1636,579,196,202,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00017.jpg,1630,581,202,186,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00018.jpg,1630,576,208,199,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00019.jpg,1628,575,206,201,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00020.jpg,1634,572,192,206,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00021.jpg,1628,566,206,197,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00022.jpg,1636,573,192,180,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00024.jpg,1646,551,180,181,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00025.jpg,1670,553,166,164,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00034.jpg,682,622,263,179,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00035.jpg,966,594,182,126,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00036.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00037.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00038.jpg,855,705,331,243,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00038.jpg,218,677,433,286,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00039.jpg,950,681,304,233,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00039.jpg,549,633,336,248,0,compliant_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00040.jpg,764,625,260,202,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00041.jpg,942,601,232,184,1,violating_vehicle,red
raw_frames\5hXUlLcSwsM\frame_00042.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00043.jpg,,,,,,no_box,unknown
raw_frames\5hXUlLcSwsM\frame_00044.jpg,,,,,,no_box,unknown
