image_path,x,y,w,h,class_id,class_name,signal_state
raw_frames\frame_00014_jpg.rf.c095d98604855dc355a25ee2cd34277e.jpg,281,305,94,125,0,compliant_vehicle,red
raw_frames\frame_00014_jpg.rf.c095d98604855dc355a25ee2cd34277e.jpg,164,295,47,83,0,compliant_vehicle,red
raw_frames\frame_00016_jpg.rf.16cb989d95483af5653648b18425ac41.jpg,278,304,68,124,0,compliant_vehicle,red
raw_frames\frame_00016_jpg.rf.16cb989d95483af5653648b18425ac41.jpg,431,298,52,78,0,compliant_vehicle,red
raw_frames\frame_00016_jpg.rf.1c17dd76bf6dbb61a556da50b5d90436.jpg,161,292,58,88,0,compliant_vehicle,red
raw_frames\frame_00016_jpg.rf.1c17dd76bf6dbb61a556da50b5d90436.jpg,292,307,91,129,0,compliant_vehicle,red
raw_frames\frame_00017_jpg.rf.b756954848f60f92e76d9ea380245652.jpg,169,292,42,92,0,compliant_vehicle,red
raw_frames\frame_00017_jpg.rf.b756954848f60f92e76d9ea380245652.jpg,292,309,95,128,0,compliant_vehicle,red
raw_frames\frame_00018_jpg.rf.48a9ea0cb7ab158b7b2085838e08876f.jpg,274,306,90,120,0,compliant_vehicle,red
raw_frames\frame_00018_jpg.rf.48a9ea0cb7ab158b7b2085838e08876f.jpg,437,302,47,84,0,compliant_vehicle,red
raw_frames\frame_00018_jpg.rf.ab3b8aaad2115662d6bdd60f7b88f392.jpg,294,313,84,117,0,compliant_vehicle,red
raw_frames\frame_00018_jpg.rf.ab3b8aaad2115662d6bdd60f7b88f392.jpg,167,283,45,101,0,compliant_vehicle,red
raw_frames\frame_00020_jpg.rf.9ad469f88de8ba59138fadb1b2b72267.jpg,267,303,99,140,0,compliant_vehicle,red
raw_frames\frame_00020_jpg.rf.9ad469f88de8ba59138fadb1b2b72267.jpg,431,304,65,83,0,compliant_vehicle,red
raw_frames\frame_00020_jpg.rf.9ad469f88de8ba59138fadb1b2b72267.jpg,230,307,26,94,0,compliant_vehicle,red
raw_frames\frame_00021_jpg.rf.93bf2ab7c569cb2dce77c10107ed3131.jpg,430,294,54,94,0,compliant_vehicle,red
raw_frames\frame_00021_jpg.rf.93bf2ab7c569cb2dce77c10107ed3131.jpg,236,294,38,88,0,compliant_vehicle,red
raw_frames\frame_00021_jpg.rf.93bf2ab7c569cb2dce77c10107ed3131.jpg,282,310,64,119,0,compliant_vehicle,red
raw_frames\frame_00021_jpg.rf.9ec0ec7cf46d1d93afd5b3e4036b29d2.jpg,290,312,77,129,0,compliant_vehicle,red
raw_frames\frame_00021_jpg.rf.9ec0ec7cf46d1d93afd5b3e4036b29d2.jpg,380,293,28,94,0,compliant_vehicle,red
raw_frames\frame_00021_jpg.rf.9ec0ec7cf46d1d93afd5b3e4036b29d2.jpg,167,289,47,98,0,compliant_vehicle,red
raw_frames\frame_00022_jpg.rf.1d836c18601ea6b43f5ef9d72da28101.jpg,171,293,35,97,0,compliant_vehicle,red
raw_frames\frame_00022_jpg.rf.1d836c18601ea6b43f5ef9d72da28101.jpg,291,309,76,125,0,compliant_vehicle,red
raw_frames\frame_00022_jpg.rf.1d836c18601ea6b43f5ef9d72da28101.jpg,374,282,34,96,0,compliant_vehicle,red
raw_frames\frame_00022_jpg.rf.31c2d0e7329011ba14332e139087ed97.jpg,231,282,44,87,0,compliant_vehicle,red
raw_frames\frame_00022_jpg.rf.31c2d0e7329011ba14332e139087ed97.jpg,427,297,56,85,0,compliant_vehicle,red
raw_frames\frame_00022_jpg.rf.31c2d0e7329011ba14332e139087ed97.jpg,277,303,74,126,0,compliant_vehicle,red
raw_frames\frame_00025_jpg.rf.34e4c657d140d45d8ed1074d7e5adf2e.jpg,229,286,45,73,0,compliant_vehicle,red
raw_frames\frame_00025_jpg.rf.34e4c657d140d45d8ed1074d7e5adf2e.jpg,279,300,76,141,0,compliant_vehicle,red
raw_frames\frame_00025_jpg.rf.34e4c657d140d45d8ed1074d7e5adf2e.jpg,430,305,64,83,0,compliant_vehicle,red
raw_frames\frame_00025_jpg.rf.fd4d8392a3a325be4603fd552acbe5ae.jpg,162,293,38,90,0,compliant_vehicle,red
raw_frames\frame_00025_jpg.rf.fd4d8392a3a325be4603fd552acbe5ae.jpg,284,312,88,115,0,compliant_vehicle,red
raw_frames\frame_00025_jpg.rf.fd4d8392a3a325be4603fd552acbe5ae.jpg,375,285,30,68,0,compliant_vehicle,red
raw_frames\frame_00026_jpg.rf.786907c1b7ba6ccbd97230fe8707ef29.jpg,163,293,40,91,0,compliant_vehicle,unknown
raw_frames\frame_00026_jpg.rf.786907c1b7ba6ccbd97230fe8707ef29.jpg,217,304,52,101,0,compliant_vehicle,unknown
raw_frames\frame_00026_jpg.rf.786907c1b7ba6ccbd97230fe8707ef29.jpg,296,316,80,115,0,compliant_vehicle,unknown
raw_frames\frame_00026_jpg.rf.786907c1b7ba6ccbd97230fe8707ef29.jpg,370,280,34,77,0,compliant_vehicle,unknown
raw_frames\frame_00027_jpg.rf.b60d0419665a35b1b40a26ac9ae1b803.jpg,236,272,35,88,0,compliant_vehicle,red
raw_frames\frame_00027_jpg.rf.b60d0419665a35b1b40a26ac9ae1b803.jpg,284,307,58,119,0,compliant_vehicle,red
raw_frames\frame_00027_jpg.rf.b60d0419665a35b1b40a26ac9ae1b803.jpg,371,303,49,89,0,compliant_vehicle,red
raw_frames\frame_00027_jpg.rf.b60d0419665a35b1b40a26ac9ae1b803.jpg,443,297,44,86,0,compliant_vehicle,red
raw_frames\frame_00027_jpg.rf.d020f1409e71417bb87e1895ac57c682.jpg,167,295,39,82,0,compliant_vehicle,red
raw_frames\frame_00027_jpg.rf.d020f1409e71417bb87e1895ac57c682.jpg,223,303,45,88,0,compliant_vehicle,red
raw_frames\frame_00027_jpg.rf.d020f1409e71417bb87e1895ac57c682.jpg,295,305,69,128,0,compliant_vehicle,red
raw_frames\frame_00027_jpg.rf.d020f1409e71417bb87e1895ac57c682.jpg,366,280,42,87,0,compliant_vehicle,red
raw_frames\frame_00029_jpg.rf.9043092d2136919491ec12a8b96984f0.jpg,233,275,42,90,0,compliant_vehicle,red
raw_frames\frame_00029_jpg.rf.9043092d2136919491ec12a8b96984f0.jpg,282,299,62,132,0,compliant_vehicle,red
